step,class 1,class 2,class 3,class 4,class 5
1,51901,51901,59854,59858,62471
2,51901,52858,59853,61449,65961
3,51901,55234,59855,64427,69460
4,53605,57617,62281,67422,72934
5,55989,59993,64888,70411,76424
6,58378,62382,67493,73386,79925
7,60749,64752,70086,76370,83418
8,63137,67139,72686,79353,86900
9,63137,69519,75291,82331,90396
10,63137,69519,77891,85319,93885
11,63137,69519,77891,88309,97383
12,63137,69519,77891,91290,100870
13,63137,69519,77891,91290,100870
14,63137,69519,77891,91290,100870
15,63137,69519,77891,91290,100870
16,67173,73555,81927,95326,104906
17,67173,73555,81927,95326,104906
18,67173,73555,81927,95326,104906
19,67173,73555,81927,95326,104906
20,67173,73555,81927,95326,104906
21,69190,75572,83944,97343,106923
22,69190,75572,83944,97343,106923
23,69190,75572,83944,97343,106923
24,69190,75572,83944,97343,106923
25,69190,75572,83944,97343,106923
26,70199,76581,84953,98352,107932
27,70199,76581,84953,98352,107932
28,70199,76581,84953,98352,107932
29,70199,76581,84953,98352,107932
30,70199,76581,84953,98352,107932
31,72017,78599,86971,100370,109950
32,72017,78599,86971,100370,109950
33,72017,78599,86971,100370,109950
34,72017,78599,86971,100370,109950
35,74233,80615,88987,102386,111966
36,74233,80615,88987,102386,111966
