step,class 1,class 2,class 3,class 4
1,56184,56854,61921,66978
2,56184,60621,65683,70743
3,59325,64385,69440,74505
4,63078,68147,73212,78272
5,66852,71912,76967,82036
6,70609,75674,80734,85789
7,74238,79434,84503,89553
8,77867,83198,88263,93327
9,81496,86963,92027,97075
10,85124,90735,95782,100584
11,88753,94492,99549,104612
12,88753,94492,99549,104612
13,88753,94492,99549,104612
14,88753,94492,99549,104612
15,88753,94492,99549,104612
16,88753,94492,99549,104612
17,88753,94492,99549,104612
18,88753,94492,99549,104612
19,88753,94492,99549,104612
20,88753,94492,99549,104612
21,88753,94492,99549,104612
22,88753,94492,99549,104612
23,88753,94492,99549,104612
24,88753,94492,99549,104612
25,88753,94492,99549,104612
26,88753,94492,99549,104612
27,88753,94492,99549,104612
28,88753,94492,99549,104612
29,88753,94492,99549,104612
30,88753,94492,99549,104612
31,88753,94492,99549,104612
32,88753,94492,99549,104612
33,88753,94492,99549,104612
34,88753,94492,99549,104612
35,88753,94492,99549,104612
36,88753,94492,99549,104612
