step,class 1,class 2,class 3,class 4,class 5
1,51154,53160,55167,57913,61703
2,52158,54163,56042,59944,63866
3,53160,55167,58018,62037,66095
4,54163,55934,60040,64209,68410
5,55167,57898,62148,66457,70819
6,57416,59918,64319,68778,73289
7,59413,62014,66571,71198,75854
8,61503,64195,68890,73672,78504
9,63658,66440,71319,76264,81257
10,63658,68765,73808,78937,84109
11,63658,68765,76404,81698,87052
12,63658,68765,78450,86835,92516
13,63658,68765,82058,90829,96772
14,66586,71928,82058,90829,96772
15,66586,71928,82058,90829,96772
16,66586,71928,82058,90829,96772
17,66586,71928,82058,90829,96772
18,66586,71928,82058,90829,96772
19,67732,73166,83471,92392,98437
20,67732,73166,83471,92392,98437
21,67732,73166,83471,92392,98437
22,67732,73166,83471,92392,98437
23,67732,73166,83471,92392,98437
24,67732,73166,83471,92392,98437
25,68687,74197,84647,93695,99825
26,68687,74197,84647,93695,99825
27,68687,74197,84647,93695,99825
28,70024,75642,86295,95518,101768
29,70660,76329,87079,96387,102693
30,71297,77017,87864,97255,103618
31,71297,77017,87864,97255,103618
32,71297,77017,87864,97255,103618
33,71297,77017,87864,97255,103618
34,71297,77017,87864,97255,103618
35,71297,77017,87864,97255,103618
36,71297,77017,87864,97255,103618
