step,class 1,class 2,class 3,class 4,class 5
1,52425,53158,53996,55565,59093
2,52425,53158,53996,55565,59093
3,53741,55069,57002,60738,64296
4,53741,55069,57002,60738,64296
5,54932,58573,62215,65851,69484
6,54932,58573,62215,65851,69484
7,60135,63781,67405,71046,74683
8,60135,63781,67405,71046,74683
9,65337,68967,72611,77630,81280
10,65337,68967,72611,77630,81280
11,65337,68967,72611,83028,86933
12,67950,71726,75515,86349,90410
13,67950,71726,75515,86349,94027
14,67950,71726,75515,86349,94027
15,68931,72760,76605,87595,95383
16,68931,72760,76605,87595,95383
17,68931,72760,76605,87595,95383
18,69911,73795,77694,88840,96739
19,69911,73795,77694,88840,96739
20,69911,73795,77694,88840,96739
21,70891,74829,78783,90085,98095
22,70891,74829,78783,90085,98095
23,70891,74829,78783,90085,98095
24,71871,75864,79872,91331,99451
25,71871,75864,79872,91331,99451
26,71871,75864,79872,91331,99451
27,72851,76898,80961,92576,100808
28,72851,76898,80961,92576,100808
29,72851,76898,80961,92576,100808
30,73831,77933,82050,93822,102164
31,73831,77933,82050,93822,102164
32,73831,77933,82050,93822,102164
33,73831,77933,82050,93822,102164
34,73831,77933,82050,93822,102164
35,73831,77933,82050,93822,102164
36,73831,77933,82050,93822,102164
