step,class 1,class 2,class 3,class 4,class 5
1,48017,54067,54067,54067,55284
2,48017,54067,54067,54666,57441
3,48601,54067,54067,56822,59594
4,50751,54067,56222,58970,61755
5,52909,55632,58372,61127,63910
6,55062,57788,60529,63281,66059
7,57214,59936,62683,65433,68215
8,59371,62091,64841,67587,70370
9,61523,64249,66992,69742,72520
10,63680,66402,69145,71893,74674
11,63680,68552,71301,74053,76833
12,63680,68552,73454,76205,78982
13,63680,68552,73454,78357,81136
14,63680,68552,73454,78357,83289
15,67041,72001,76989,81989,87012
16,67041,72001,76989,81989,87012
17,67041,72001,76989,81989,87012
18,67041,72001,76989,81989,87012
19,69231,74198,79186,84179,89201
20,69231,74198,79186,84179,89201
21,69231,74198,79186,84179,89201
22,69231,74198,79186,84179,89201
23,71422,76392,81375,86370,91403
24,71422,76392,81375,86370,91403
25,75805,80771,85749,90770,95772
26,75805,80771,85749,90770,95772
27,75805,80771,85749,90770,95772
28,75805,80771,85749,90770,95772
29,75805,80771,85749,90770,95772
30,75805,80771,85749,90770,95772
31,75805,80771,85749,90770,95772
32,75805,80771,85749,90770,95772
33,75805,80771,85749,90770,95772
34,75805,80771,85749,90770,95772
35,75805,80771,85749,90770,95772
36,75805,80771,85749,90770,95772
